CodeC,NomC,PrenomC,RueC,CPC,VilleC,RegionC,CodeSoc
1,Marchand,Arthur,164 Boulevard de la République,89900,Avignon,Provence-Alpes-Côte d'Azur,32694013584309
2,Vincent,Axel,147 Rue de la Paix,47000,Metz,Grand Est,60918513369771
3,Martin,Léa,62 Avenue Victor Hugo,73250,Quimper,Bretagne,91353961217109
4,Girard,Emma,202 Rue du Général de Gaulle,26800,Nîmes,Occitanie,10112206654382
5,Louis,Maya,90 Rue des Fleurs,23350,Angers,Pays de la Loire,56301570407756
6,Martin,Lucas,193 Rue des Fleurs,03450,Saint-Étienne,Auvergne-Rhône-Alpes,16675263696923
7,Germain,Lucas,187 Rue Nationale,41300,Nevers,Bourgogne-Franche-Comté,94532380814008
8,Poirier,Romane,135 Boulevard de la République,53450,Annecy,Auvergne-Rhône-Alpes,60918513369771
9,Lefebvre,Ethan,39 Avenue Victor Hugo,29000,Chalon-sur-Saône,Bourgogne-Franche-Comté,27276983771370
10,Lambert,Lucas,42 Place de la Liberté,12800,Le Havre,Normandie,29378224529391
11,Louis,Léa,123 Avenue Victor Hugo,71100,Bastia,Corsica,56301570407756
12,Masson,Ethan,148 Boulevard de la République,39000,Caen,Normandie,94904108537244
13,Henry,Clara,57 Rue de Paris,54500,Chalon-sur-Saône,Bourgogne-Franche-Comté,91353961217109
14,Leroy,Lina,59 Avenue des Champs-Élysées,42250,Bourges,Centre-Val de Loire,22158649305494
15,Deschamps,Manon,109 Rue de la Paix,44600,Lille,Hauts-de-France,23412772661527
16,Lambert,Axel,45 Rue Nationale,40400,Limoges,Nouvelle-Aquitaine,66067774000364
17,Richard,Manon,28 Rue de Paris,02250,Calais,Hauts-de-France,91353961217109
18,Leroy,Martin,220 Rue de Paris,18500,Angers,Pays de la Loire,62432903831124
19,Martin,Adam,68 Boulevard de la République,02450,Cherbourg,Normandie,62432903831124
20,Petit,Jade,26 Rue de Paris,87800,Roubaix,Hauts-de-France,52721301541202
21,Colin,Mila,78 Rue Nationale,13900,Paris,Île-de-France,89557732603090
22,Garcia,Lou,8 Place de la Liberté,16400,Saint-Denis,Île-de-France,14311775001461
23,Masson,Ethan,69 Rue des Fleurs,46500,Paris,Île-de-France,55684391399192
24,Martin,Manon,193 Rue des Fleurs,11900,Cholet,Pays de la Loire,21806475533626
25,Lambert,Léo,31 Rue des Fleurs,17500,Dijon,Bourgogne-Franche-Comté,31935952274312
26,Muller,Sara,66 Rue Nationale,10700,Perpignan,Occitanie,31935952274312
27,Colin,Axel,33 Rue Nationale,66900,Metz,Grand Est,55684391399192
28,Richard,Inès,113 Rue de Paris,51900,Angers,Pays de la Loire,31935952274312
29,Laurent,Hugo,151 Rue de Paris,42450,Caen,Normandie,57198241195598
30,Robert,Sofia,61 Boulevard de la République,93200,Bastia,Corsica,93575605313660
31,Devaux,Léo,139 Avenue des Champs-Élysées,66900,Ajaccio,Corsica,54771634497881
32,Renard,Ethan,129 Rue Nationale,49000,Poitiers,Nouvelle-Aquitaine,70723576553460
33,Renard,Emma,111 Avenue Victor Hugo,67400,Tours,Centre-Val de Loire,16675263696923
34,Andre,Emma,74 Rue des Fleurs,61350,Montpellier,Occitanie,22158649305494
35,Leclerc,Louis,84 Rue de Paris,82200,Limoges,Nouvelle-Aquitaine,72777356436755
36,Roux,Lina,55 Rue de Paris,49800,Strasbourg,Grand Est,56301570407756
37,Richard,Maya,104 Rue Nationale,42000,Mulhouse,Grand Est,72777356436755
38,Blanc,Lou,126 Place de la Liberté,56600,Paris,Île-de-France,52308740478567
39,Simon,Mohamed,55 Rue Nationale,28350,Toulon,Provence-Alpes-Côte d'Azur,62432903831124
40,Germain,Louis,19 Avenue des Champs-Élysées,86250,Besançon,Bourgogne-Franche-Comté,94904108537244
41,Colin,Hugo,114 Avenue Victor Hugo,17250,Amiens,Hauts-de-France,91353961217109
42,Blanc,Léa,97 Avenue des Champs-Élysées,44800,Mulhouse,Grand Est,94904108537244
43,Dupont,Lina,220 Boulevard de la République,65000,Ajaccio,Corsica,29378224529391
44,Barbier,Arthur,26 Boulevard de la République,65000,Rennes,Bretagne,93575605313660
45,Lefebvre,Hugo,66 Boulevard de la République,05100,Avignon,Provence-Alpes-Côte d'Azur,10160678844935
46,Richard,Adam,218 Rue du Général de Gaulle,70300,Avignon,Provence-Alpes-Côte d'Azur,10112206654382
47,Fournier,Romane,9 Rue de la Paix,92500,Bourges,Centre-Val de Loire,74570847696182
48,Girard,Adam,158 Rue des Fleurs,63250,Marseille,Provence-Alpes-Côte d'Azur,10112206654382
49,Martinez,Axel,123 Avenue des Champs-Élysées,44900,Ajaccio,Corsica,52809577153890
50,Garcia,Alice,154 Avenue Victor Hugo,46500,Bastia,Corsica,86833018343743
51,Dubois,Sofia,143 Avenue Victor Hugo,06800,Ajaccio,Corsica,15075790748492
52,Laurent,Lou,51 Rue de Paris,58000,Strasbourg,Grand Est,80767867500085
53,Perrot,Noa,198 Avenue Victor Hugo,18450,Chartres,Centre-Val de Loire,60918513369771
54,Leclerc,Eliott,85 Rue de Paris,03400,Nîmes,Occitanie,60362039920918
55,Germain,Julie,27 Rue des Fleurs,70900,Annecy,Auvergne-Rhône-Alpes,17714329814317
56,Renard,Mehdi,137 Avenue des Champs-Élysées,40600,Calais,Hauts-de-France,10112206654382
57,Blanc,Léo,175 Rue de la Paix,21600,Grenoble,Auvergne-Rhône-Alpes,22158649305494
58,Rousseau,Mehdi,28 Place de la Liberté,08450,Orléans,Centre-Val de Loire,31935952274312
59,Blanc,Ethan,148 Rue Nationale,74500,Cherbourg,Normandie,93575605313660
60,Moreau,Hugo,57 Rue des Fleurs,31700,Chalon-sur-Saône,Bourgogne-Franche-Comté,35104074927247
61,Mercier,Sofia,26 Rue Nationale,69450,Calais,Hauts-de-France,29378224529391
62,Martinez,Inès,159 Rue de la Paix,27100,Perpignan,Occitanie,54771634497881
63,Petit,Ethan,183 Rue des Fleurs,56400,Toulouse,Occitanie,56301570407756
